"Player","Team","Pos","Rank","ADP","Diff","2023 Finish","2022 Finish","Id"
"Rhamondre Stevenson","Patriots","RB","78","84.3","0.07","69","29","1775916e-71ef-4b95-beb7-cc387b7d0a26"
"Jake Ferguson","Cowboys","TE","79","84.3","0.06","128","297","21b4aa19-67f2-4f75-9580-e7de8402ec95"
"Rico Dowdle","Cowboys","RB","80","119.1","0.33","174","","1f9caa40-8697-45ed-838a-c5016d5d2b50"
"DeAndre Hopkins","Titans","WR","81","89.8","0.1","64","22","d0ab599c-2441-43c7-8e44-355ddcd40fb4"
"Ladd McConkey","Chargers","WR","82","78.5","-0.04","","","da9a62a7-26d6-4485-be96-cd693c639448"
"Joshua Palmer","Chargers","WR","83","101.5","0.18","104","127","5b58b8bc-4e70-4c59-9b39-5d06ff9cc138"
"Jayden Reed","Packers","WR","84","60.9","-0.38","53","","501824d3-4a54-4af2-b44a-d3ecd1963f1d"
"Christian Watson","Packers","WR","85","70.8","-0.2","84","47","c404a688-5ff2-4ede-a1bd-1e52bd000052"
"Courtland Sutton","Broncos","WR","86","92.1","0.07","75","125","63578ada-4ed4-4316-9f8a-e9aabc341a12"
"Jordan Love","Packers","QB","87","93.6","0.07","103","","9edea840-1092-4867-b6ce-7cf21b5a10b0"
"Dak Prescott","Cowboys","QB","88","98","0.1","51","110","820e0944-20ba-491d-94a0-9c367bb95d2a"
"Zack Moss","Bengals","RB","89","107.7","0.17","44","172","3e152432-f6e7-42b7-b71e-fd969103ef58"
"Jaylen Warren","Steelers","RB","90","93.1","0.03","97","263","f92ed8de-d86d-4837-9230-7ed84bdaf0f3"
"Evan Engram","Jaguars","TE","91","77.5","-0.17","105","93","5482dd3a-89c6-44de-9819-2b27e7af1097"
"Caleb Williams","Bears","QB","92","104.7","0.12","","","b8771ac8-365e-47ee-8c89-257ce9c3ed1c"
"Joe Burrow","Bengals","QB","93","88.4","-0.05","123","35","13b9e9b0-7b2f-4a53-9772-7a2b029a0cec"
"Jordan Addison","Vikings","WR","94","87.4","-0.08","59","","010a891d-2b17-4cbc-b8fe-7b3aa74f9e6f"
"Blake Corum","Rams","RB","95","122.1","0.22","","","e89f7b98-d087-46a4-b20a-53dd65177736"
"Devin Singletary","Giants","RB","96","110.9","0.13","100","91","afbfb86b-62fa-4d76-850e-106a8bef1227"
"Javonte Williams","Broncos","RB","97","103.2","0.06","119","119","4cdb965b-ad70-4a6d-9ab5-2d106a11b98f"
"Chase Brown","Bengals","RB","98","100.1","0.02","184","","3e8980e6-5db5-4abf-bf09-961510c13cca"
"Zamir White","Raiders","RB","99","90.4","-0.1","159","350","1eaa53eb-1685-436a-92f1-5108e9060916"
"D'Andre Swift","Bears","RB","100","88.4","-0.13","63","50","59e3addb-e2f7-4d24-8852-eaa61c397dd7"
"Aaron Jones","Vikings","RB","101","81.9","-0.23","73","28","c7a3f5f1-7736-4c0d-9fed-b00b9e39c46b"
"Tony Pollard","Titans","RB","102","101.2","-0.01","66","20","46af6d96-b1c6-420e-8267-e45b7ee6bed2"
"Jerome Ford","Browns","RB","103","120.1","0.14","60","350","49edc4f4-dc78-467d-8ddb-a5585fcb54e9"
"Keon Coleman","Bills","WR","104","76.4","-0.36","","","6d7c0fe8-34ac-4c6c-a7ab-3aba41078fc0"
"Curtis Samuel","Bills","WR","105","93.4","-0.12","115","100","5938ed56-9d15-4ddb-bbb6-4f2df360082d"
"Jameson Williams","Lions","WR","106","81.6","-0.3","193","278","05770873-38ff-4f2c-9fe6-93b30344c8ff"
"Brock Bowers","Raiders","TE","107","95.1","-0.13","","","f5867da2-a5d7-46e0-8c3d-87d8f5679ac3"
"Romeo Doubs","Packers","WR","108","98.6","-0.1","107","162","eab97f05-41eb-44dd-bcd6-b1164453d78f"
"Mike Williams","Jets","WR","109","133.2","0.18","31","49","ff2e5025-2e5a-42f1-b618-d49879ee4137"
"Jayden Daniels","Commanders","QB","110","95.9","-0.15","","","7596f380-5b00-47a8-9598-a26c2f107188"
"Dallas Goedert","Eagles","TE","111","116.7","0.05","120","123","b95bd706-6b49-482b-9767-182b062dd5b1"
"Rashid Shaheed","Saints","WR","112","113","0.01","96","150","e589613d-c3de-4dd1-9cfd-2e28677b4341"
"Jonathon Brooks","Panthers","RB","113","97.4","-0.16","","","d4aff586-ebb1-48b4-9046-92ced891b82e"
"Brian Robinson Jr.","Commanders","RB","114","104.4","-0.09","50","101","8f945f72-643c-468a-92f0-5ce4eea02376"
"Tyjae Spears","Titans","RB","115","109.7","-0.05","167","","155d3ea9-be02-439b-893f-61cfb7e42e14"
"Brock Purdy","49ers","QB","116","112.6","-0.03","92","248","34410741-ef23-47e5-b6b4-ec1786d934fa"
"Tua Tagovailoa","Dolphins","QB","117","122.4","0.04","136","74","b24c197a-b8e2-4ddf-8d0e-b97e30059d08"
"Brandin Cooks","Cowboys","WR","118","122.1","0.03","85","129","dd65067d-22f1-4262-9511-1722ec842441"
"Gabe Davis","Jaguars","WR","119","128.6","0.07","67","62","9d484486-6555-41e2-9e4b-b9b4b4a73852"
"Dontayvion Wicks","Packers","WR","120","112.9","-0.06","187","","a7ee8a74-bffd-4cc1-8afe-c348540218cb"
"Khalil Shakir","Bills","WR","121","104.7","-0.16","178","260","14655452-ddcb-4917-b5d6-16cba10df015"
"Jerry Jeudy","Browns","WR","122","124","0.02","215","46","6cf1940d-9a54-4eb3-ba14-49e9b822d88d"
"Adonai Mitchell","Colts","WR","123","126.6","0.03","","","808b51b2-dbf2-4023-9231-cd5f910afe6f"
"Matthew Stafford","Rams","QB","124","147.8","0.16","164","294","2c21c617-0373-467a-aa15-1e0e678d9630"
"Trevor Lawrence","Jaguars","QB","125","118.3","-0.06","131","92","cd014c4d-e787-4f56-b0c4-c18b0f98dfd0"
"Chuba Hubbard","Panthers","RB","126","150.3","0.16","109","156","3818318a-eae9-4e5e-97b7-fc9c17aff78d"
"Zach Charbonnet","Seahawks","RB","127","137.8","0.08","201","","317274c8-462d-4f3f-99c0-6fe632f9c100"
"Tyler Allgeier","Falcons","RB","128","141.9","0.1","121","89","fd40f098-b8ea-462f-9500-a356b073a8c2"
"Trey Benson","Cardinals","RB","129","129.1","0","","","542c1523-b23e-42fd-add6-29db4ec3dc1d"
