player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
Davante Adams,8688,WR,LV,16.857,11.329,13.571,66.486,44.1,14.286,31.143,0,4.3,4.857,0.113,74.0,23,0.714,82.8,67.486,91.114,66.1,91.357,0.057,0.286,4.714,59.143,0.114,0.571,634.571,2.143,47.4,113.857,94.314,598.286,31.371,198.571,111.071,170.857,14.0,68.3,433.714,1551.0,566.857,4.971,13.843,2.596,2022,265.4,0.28,2.58
Davante Adams,8688,WR,LV,17.0,11.386,11.0,62.057,35.3,13.143,33.143,0,6.614,7.429,-0.001,64.857,23,0.286,73.529,76.886,84.186,,84.829,0.029,0.143,5.571,51.857,0.057,0.286,621.714,1.429,46.043,106.286,95.357,592.571,22.943,143.714,92.2,171.0,10.143,76.286,473.0,1321.571,428.857,4.014,12.457,2.227,2023,239.3,0.3,2.82
Davante Adams,8688,WR,NYJ,15.286,10.2,11.429,61.7,50.0,13.0,29.429,0,9.1,9.143,-0.06,54.143,22,0.143,59.5,79.657,78.786,,79.671,0.0,0.0,4.286,62.286,0.029,0.143,585.571,1.714,44.871,92.286,94.357,552.857,35.629,205.286,93.714,150.0,8.857,63.886,377.286,1150.857,435.429,4.8,12.486,2.079,2024,222.9,0.35,3.72
David Bell,97989,WR,CLV,16.0,6.6,2.0,75.0,44.4,4.0,9.0,0,7.7,2.0,-0.05,7.0,8,0.0,63.4,76.0,52.5,69.2,52.1,0.0,0.0,3.0,20.0,0.9,3.0,327.0,0.0,44.3,24.0,93.3,305.0,72.2,236.0,53.4,32.0,0.0,27.8,91.0,214.0,74.0,3.1,8.9,0.7,2022,48.7,0.22,3.48
David Bell,97989,WR,CLV,16.0,6.467,0.667,75.6,75.0,3.333,5.667,0,8.1,2.0,-0.123,9.667,8,0.0,61.333,75.267,59.9,78.0,59.767,1.2,2.0,1.667,34.0,2.7,5.0,221.667,0.0,42.167,22.667,93.433,207.0,58.0,136.0,95.933,30.0,2.0,40.4,83.0,218.667,81.333,3.633,9.633,1.167,2023,5.7,0.63,1.9
David Moore,11981,WR,SEA,17.0,16.9,2.0,52.0,41.2,7.0,17.0,0,7.1,2.0,0.2,18.0,29,2.0,64.3,21.7,64.5,,64.4,0.0,0.0,2.0,54.0,0.0,0.0,355.0,3.0,47.1,26.0,93.2,331.0,5.1,18.0,99.2,50.0,5.0,94.9,337.0,445.0,89.0,3.4,17.1,1.34,2018,61.6,0.2,3.08
David Moore,11981,WR,SEA,16.333,16.1,5.333,50.667,22.2,3.667,11.667,0,5.7,1.333,0.313,16.667,29,1.333,68.433,38.3,66.433,,66.533,0.0,0.0,1.333,58.0,0.0,0.0,282.333,3.0,50.9,21.333,93.133,263.0,19.3,49.333,92.8,42.0,3.0,80.7,233.0,387.0,143.0,7.067,18.233,1.487,2019,118.8,0.25,2.76
David Moore,11981,WR,SEA,16.714,12.329,3.429,65.486,55.6,4.429,10.143,0,3.986,1.143,0.203,17.429,29,0.571,75.5,65.671,66.186,56.5,66.457,0.514,1.714,0.571,57.429,0.343,1.143,311.857,1.857,50.214,29.714,94.657,295.571,23.643,72.571,121.257,44.857,4.714,75.843,237.571,404.714,162.429,5.829,14.443,1.386,2020,0.0,0.0,
David Moore,11981,WR,CAR,16.857,11.7,3.857,62.286,41.2,5.714,13.571,0,7.829,2.714,0.03,17.714,5,0.143,62.643,77.171,64.543,65.7,65.2,0.257,0.857,0.143,36.857,0.343,1.143,335.714,1.857,46.943,31.286,94.329,316.714,25.286,84.714,108.0,50.286,3.714,74.286,249.571,371.143,112.0,3.814,12.286,1.191,2024,2.7,0.03,1.35
DeAndre Carter,9859,WR,HST,12.0,2.7,1.0,91.7,100.0,1.0,1.0,0,0.0,0.0,0.04,10.0,13,1.0,84.5,25.9,63.6,,63.1,0.0,0.0,0.0,50.0,0.0,0.0,180.0,0.0,45.1,22.0,97.2,175.0,65.6,118.0,104.2,24.0,0.0,33.9,61.0,216.0,162.0,7.4,9.8,1.23,2018,27.2,0.13,2.47
