player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,AVG,fantasyPts,ptsPerSnap,ptsPerTouch
Randall Cobb,6216,WR,DAL,15,10.2,10,69.6,63.6,7,11,0,14.1,9,0.23,40,9,2,29.1,34.2,69.9,68.6,70.9,1.2,6,3,59,0.4,2,499,2,50.4,55,94.0,469,91.8,458,100.6,79,3,7.0,35,828,334,6.1,15.1,1.77,2019,187.9,100.1,0.27,2.63
James Washington,47792,WR,PIT,15,15.9,3,57.1,56.3,9,16,0,10.2,5,-0.06,31,25,1,53.7,32.1,69.3,73.1,68.5,1.3,6,5,79,0.4,2,448,3,42.5,44,93.1,417,26.3,118,75.4,77,3,72.3,324,735,202,4.6,16.7,1.76,2019,193.2,99.2,0.2,3.31
Russell Gage,44771,WR,ATL,16,7.2,6,71.0,30.0,3,10,0,3.9,2,0.06,25,2,0,78.8,40.3,66.3,,66.4,0.0,0,1,19,0.0,0,403,2,46.0,49,93.8,378,67.0,270,87.0,69,1,32.8,132,446,161,3.3,9.1,1.18,2019,228.2,175.5,0.23,2.37
Alshon Jeffery,7048,WR,PHI,10,11.6,0,62.3,47.1,8,17,0,10.4,5,0.13,36,24,0,52.3,78.4,74.8,,75.0,0.0,0,1,38,0.0,0,305,1,48.3,43,93.8,286,11.8,36,96.9,69,4,88.2,269,490,136,3.2,11.4,1.71,2019,197.8,23.5,0.12,3.92
Zach Pascal,12303,WR,IND,16,12.4,4,59.4,26.3,5,19,1,4.7,2,0.0,29,14,0,74.8,81.4,73.7,76.2,71.4,0.4,2,4,37,0.4,2,449,2,46.3,41,93.1,418,36.3,163,88.3,69,5,63.0,283,607,234,5.7,14.8,1.45,2019,265.4,136.9,0.16,3.11
JuJu Smith-Schuster,11817,WR,PIT,12,9.8,4,61.8,57.1,8,14,1,12.5,6,-0.09,23,25,1,45.9,31.2,63.1,,63.0,0.7,3,3,76,0.0,0,406,3,41.0,42,91.4,371,66.7,271,83.7,68,3,32.5,132,552,241,5.7,13.1,1.49,2019,36.3,234.1,0.25,2.41
Hunter Renfrow,47509,WR,OAK,13,7.2,10,73.1,46.2,6,13,1,9.3,5,0.24,31,23,0,57.5,81.9,75.5,67.0,76.5,0.0,0,1,65,0.7,2,303,3,49.7,49,95.7,290,71.9,218,114.3,67,4,28.1,85,605,312,6.4,12.3,2.09,2019,181.2,133.6,0.24,2.39
TY Hilton,7092,WR,IND,10,10.4,3,67.2,30.8,4,13,2,4.3,2,0.01,24,14,0,76.5,78.6,75.1,,75.4,0.0,0,1,35,0.0,0,298,4,46.4,45,92.6,276,28.5,85,107.9,67,5,71.5,213,501,220,4.9,11.1,1.82,2019,63.4,162.2,0.24,2.9
Brandin Cooks,8655,WR,LA,14,14.5,0,62.7,56.3,9,16,0,10.6,5,0.11,32,26,0,53.1,79.7,68.1,62.4,66.8,0.0,0,2,57,0.2,1,483,1,48.0,42,93.6,452,33.7,163,88.1,67,2,66.0,319,583,170,4.0,13.9,1.29,2019,83.7,232.0,0.29,2.86
Breshad Perriman,9459,WR,TB,14,18.8,2,55.4,43.8,7,16,0,2.7,1,0.07,29,30,0,80.4,77.9,72.8,,72.3,0.0,0,4,44,0.0,0,472,2,48.1,36,95.1,449,23.9,113,94.7,65,6,76.1,359,645,129,3.6,17.9,1.44,2019,162.2,99.1,0.15,3.2
Nelson Agholor,9453,WR,PHI,11,12.4,5,60.0,38.5,5,13,1,7.1,3,0.12,17,24,2,61.6,23.4,54.4,,54.9,0.2,1,1,43,0.0,0,438,1,46.9,39,92.9,407,65.1,285,84.3,65,3,34.5,151,363,145,3.7,9.3,0.89,2019,292.9,185.6,0.25,3.87
Kenny Stills,7926,WR,HST,15,11.4,0,73.4,50.0,7,14,1,6.0,3,0.09,33,13,0,70.5,79.1,70.4,71.8,70.4,0.0,0,1,54,0.4,2,490,1,47.9,47,94.5,463,38.4,188,127.5,64,5,61.6,302,687,185,3.9,14.6,1.48,2019,229.1,31.4,0.19,2.85
Adam Thielen,8288,WR,MIN,12,13.8,2,67.7,37.5,3,8,1,6.7,3,-0.01,27,18,1,59.9,35.4,75.4,,78.3,0.0,0,1,44,0.0,0,309,4,40.8,42,92.9,287,30.7,95,124.2,62,6,68.9,213,597,144,3.4,14.2,2.08,2019,37.1,252.0,0.27,3.27
Preston Williams,38855,WR,MIA,8,14.6,0,54.2,47.6,10,21,0,8.6,3,-0.16,24,17,2,42.0,40.9,67.7,,69.4,0.0,0,3,35,0.0,0,288,3,40.7,32,92.7,267,5.2,15,73.3,59,3,94.8,273,428,71,2.2,13.4,1.6,2019,128.9,70.8,0.21,3.93
Demarcus Robinson,10760,WR,KC,19,12.4,9,59.3,33.3,2,6,1,12.5,5,0.31,20,16,0,41.5,77.9,54.9,67.6,55.6,1.2,7,2,44,0.3,2,596,3,52.0,35,89.4,533,21.6,129,94.2,59,4,77.2,460,484,128,3.7,13.8,0.91,2019,249.3,109.6,0.15,2.44
Marquez Valdes-Scantling,47809,WR,GB,18,16.6,2,49.1,15.4,2,13,0,6.9,2,0.1,14,12,0,65.2,76.5,57.0,,56.5,0.3,1,1,74,0.0,0,361,1,48.1,27,92.8,335,17.2,62,82.4,55,2,82.5,298,460,159,5.9,17.0,1.37,2019,245.0,139.3,0.18,3.76
Allen Lazard,48135,WR,GB,17,14.7,1,69.1,50.0,4,8,0,7.3,3,0.24,27,12,0,64.8,78.3,69.5,77.2,69.1,2.2,8,0,43,0.8,3,372,4,48.0,38,91.7,341,37.9,141,116.7,55,3,59.7,222,513,149,3.9,13.5,1.5,2019,154.0,97.8,0.21,2.79
John Ross,11764,WR,CIN,8,15.3,6,50.9,33.3,2,6,0,20.0,7,-0.02,22,7,1,29.0,27.9,63.1,62.4,64.2,0.4,1,2,66,0.4,1,275,2,41.4,28,94.5,260,25.8,71,85.9,55,3,73.5,202,506,202,7.2,18.1,1.95,2019,197.2,3.7,0.04,1.85
Kendrick Bourne,12270,WR,SF,19,9.1,5,67.9,58.3,7,12,0,10.0,4,0.07,28,28,0,56.7,77.9,69.8,75.9,71.1,0.6,2,1,30,1.2,4,341,2,48.6,36,90.6,309,51.6,176,123.6,53,6,47.5,162,446,146,4.1,12.4,1.44,2019,214.2,127.7,0.19,2.61
Steven Sims,48341,WR,WAS,15,7.7,1,65.4,28.6,2,7,0,10.5,4,-0.11,18,32,0,53.4,35.1,63.6,,64.7,0.0,0,1,65,0.0,0,229,1,41.1,34,93.0,213,77.3,177,99.0,52,4,22.7,52,310,170,5.0,9.1,1.46,2019,201.4,61.3,0.16,2.19
Adam Humphries,10075,WR,TEN,13,7.3,1,78.8,66.7,6,9,0,2.4,1,-0.03,23,31,0,83.0,86.4,71.4,69.4,72.2,0.0,0,0,30,0.7,2,296,0,42.8,41,93.2,276,84.8,251,111.5,52,2,14.5,43,399,130,3.2,9.7,1.45,2019,285.4,57.8,0.25,2.51
